Month,Indicator,Value,Direction
2022-07,Two-wheeler sales,-12.4,red
2022-07,Electricity demand,3.6,green
2022-07,Petrol consumption,6.8,green
2022-07,Naukri Job Speak Index,20.8,green
2022-07,E-way bill generation,17.8,green
2022-07,ATF consumption,83.5,green
2022-07,Diesel consumption,8.1,green
2022-07,Rail Freight Traffic,8.4,green
2022-07,Credit and debit card payments,4.9,green
2022-07,Air cargo,29.9,green
2022-07,Consumer Durables production,2.3,green
2022-07,IIP,2.2,green
2022-07,Consumer Non-durables production,-2.9,red
2022-08,MCEP,57.1,green
2022-08,Core sector output,4.2,green
2022-08,Retail inflation,7,green
2022-08,Major Port Cargo Traffic,8.4,green
2022-08,MGNREGA work demanded by persons,-39.6,red
2022-08,UPI volume,85.1,green
2022-08,PMI Manufacturing,56.2,green
2022-08,Air passengers,54.6,green
2022-08,Exports,10.9,green
2022-08,Unemployment in urban areas,0,neutral
2022-08,Youth unemployment in urban areas,0,neutral
2022-08,Female labour force participation in urban areas,0,neutral
2022-08,Wholesale inflation,12.5,green
2022-08,Imports,37.2,green
2022-08,GST,28.2,green
2022-08,Aggregate deposits,9.5,green
2022-08,Credit card payments,35,green
2022-08,Non-food credit,14.8,green
2022-08,Three-wheeler registrations,-4.6,red
2022-08,Tractor sales,-22.4,red
2022-08,Four-wheeler sales,4.3,green
2022-08,PMI Services,57.2,green
2022-08,PMI Composite,58.2,green
2022-08,Natural gas consumption,-16.8,red
2022-08,Two-wheeler sales,6.8,green
2022-08,Electricity demand,1.8,neutral
2022-08,Petrol consumption,11.6,green
2022-08,Naukri Job Speak Index,5.8,green
2022-08,E-way bill generation,18.7,green
2022-08,ATF consumption,57,green
2022-08,Diesel consumption,13.2,green
2022-08,Rail Freight Traffic,7.8,green
2022-08,Credit and debit card payments,-0.2,red
2022-08,Air cargo,8.8,green
2022-08,Consumer Durables production,-4.4,red
2022-08,IIP,-0.7,red
2022-08,Consumer Non-durables production,-9,red
2022-09,MCEP,58,green
2022-09,Core sector output,8.3,green
2022-09,Retail inflation,7.4,green
2022-09,Major Port Cargo Traffic,15,green
2022-09,MGNREGA work demanded by persons,-33.4,red
2022-09,UPI volume,85.6,green
2022-09,PMI Manufacturing,55.1,green
2022-09,Air passengers,50.1,green
2022-09,Exports,4.7,green
2022-09,Unemployment in urban areas,0,neutral
2022-09,Youth unemployment in urban areas,0,neutral
2022-09,Female labour force participation in urban areas,0,neutral
2022-09,Wholesale inflation,10.6,green
2022-09,Imports,12.6,green
2022-09,GST,26.2,green
2022-09,Aggregate deposits,12.5,green
2022-09,Credit card payments,46.9,green
2022-09,Non-food credit,15.7,green
2022-09,Three-wheeler registrations,-8.8,red
2022-09,Tractor sales,-5.4,red
2022-09,Four-wheeler sales,6.5,green
2022-09,PMI Services,54.3,green
2022-09,PMI Composite,55.1,green
2022-09,Natural gas consumption,-15.4,red
2022-09,Two-wheeler sales,4.1,green
2022-09,Electricity demand,12.7,green
2022-09,Petrol consumption,8.8,green
2022-09,Naukri Job Speak Index,12.7,green
2022-09,E-way bill generation,23.7,green
2022-09,ATF consumption,44.8,green
2022-09,Diesel consumption,13.4,green
2022-09,Rail Freight Traffic,9.1,green
2022-09,Credit and debit card payments,0.3,neutral
2022-09,Air cargo,7.7,green
2022-09,Consumer Durables production,-5.5,red
2022-09,IIP,3.3,green
2022-09,Consumer Non-durables production,-5.7,red
2022-10,MCEP,52.2,green
2022-10,Core sector output,0.7,neutral
2022-10,Retail inflation,6.8,green
2022-10,Major Port Cargo Traffic,3.1,green
2022-10,MGNREGA work demanded by persons,-27.2,red
2022-10,UPI volume,73.2,green
2022-10,PMI Manufacturing,55.3,green
2022-10,Air passengers,29.8,green
2022-10,Exports,-11.5,red
2022-10,Unemployment in urban areas,0,neutral
2022-10,Youth unemployment in urban areas,0,neutral
2022-10,Female labour force participation in urban areas,0,neutral
2022-10,Wholesale inflation,8.7,green
2022-10,Imports,8,green
2022-10,GST,16.6,green
2022-10,Aggregate deposits,8.9,green
2022-10,Credit card payments,35.2,green
2022-10,Non-food credit,17.1,green
2022-10,Three-wheeler registrations,1.7,neutral
2022-10,Tractor sales,16.2,green
2022-10,Four-wheeler sales,42.7,green
2022-10,PMI Services,55.1,green
2022-10,PMI Composite,55.5,green
2022-10,Natural gas consumption,-13.8,red
2022-10,Two-wheeler sales,51.5,green
2022-10,Electricity demand,0,neutral
2022-10,Petrol consumption,8.9,green
2022-10,Naukri Job Speak Index,-2.7,red
2022-10,E-way bill generation,4.6,green
2022-10,ATF consumption,28.6,green
2022-10,Diesel consumption,5.6,green
2022-10,Rail Freight Traffic,1.4,neutral
2022-10,Credit and debit card payments,-8.2,red
2022-10,Air cargo,-1.9,neutral
2022-10,Consumer Durables production,-18.1,red
2022-10,IIP,-4.1,red
2022-10,Consumer Non-durables production,-13,red
2022-11,MCEP,56.5,green
2022-11,Core sector output,5.7,green
2022-11,Retail inflation,5.9,green
2022-11,Major Port Cargo Traffic,1.8,neutral
2022-11,MGNREGA work demanded by persons,-11.8,red
2022-11,UPI volume,74.6,green
2022-11,PMI Manufacturing,55.7,green
2022-11,Air passengers,11.5,green
2022-11,Exports,9.7,green
2022-11,Unemployment in urban areas,0,neutral
2022-11,Youth unemployment in urban areas,0,neutral
2022-11,Female labour force participation in urban areas,0,neutral
2022-11,Wholesale inflation,6.1,green
2022-11,Imports,7.4,green
2022-11,GST,10.9,green
2022-11,Aggregate deposits,9.8,green
2022-11,Credit card payments,27.2,green
2022-11,Non-food credit,16.4,green
2022-11,Three-wheeler registrations,18.4,green
2022-11,Tractor sales,43.7,green
2022-11,Four-wheeler sales,14.4,green
2022-11,PMI Services,56.4,green
2022-11,PMI Composite,56.7,green
2022-11,Natural gas consumption,-5.4,red
2022-11,Two-wheeler sales,15.9,green
2022-11,Electricity demand,11,green
2022-11,Petrol consumption,8.2,green
2022-11,Naukri Job Speak Index,42.9,green
2022-11,E-way bill generation,32,green
2022-11,ATF consumption,22.6,green
2022-11,Diesel consumption,19.3,green
2022-11,Rail Freight Traffic,5.4,green
2022-11,Credit and debit card payments,-8.5,red
2022-11,Air cargo,7.7,green
2022-11,Consumer Durables production,5,green
2022-11,IIP,7.6,green
2022-11,Consumer Non-durables production,10,green
2022-12,MCEP,54,green
2022-12,Core sector output,8.3,green
2022-12,Retail inflation,5.7,green
2022-12,Major Port Cargo Traffic,10.3,green
2022-12,MGNREGA work demanded by persons,-13.8,red
2022-12,UPI volume,71.5,green
2022-12,PMI Manufacturing,57.8,green
2022-12,Air passengers,14.2,green
2022-12,Exports,-3,red
2022-12,Unemployment in urban areas,0,neutral
2022-12,Youth unemployment in urban areas,0,neutral
2022-12,Female labour force participation in urban areas,0,neutral
2022-12,Wholesale inflation,5,green
2022-12,Imports,1.5,neutral
2022-12,GST,15.2,green
2022-12,Aggregate deposits,9.2,green
2022-12,Credit card payments,32.4,green
2022-12,Non-food credit,15.3,green
2022-12,Three-wheeler registrations,7.3,green
2022-12,Tractor sales,4,green
2022-12,Four-wheeler sales,5,green
2022-12,PMI Services,58.5,green
2022-12,PMI Composite,59.4,green
2022-12,Natural gas consumption,-6.8,red
2022-12,Two-wheeler sales,-13.2,red
2022-12,Electricity demand,11.6,green
2022-12,Petrol consumption,6,green
2022-12,Naukri Job Speak Index,4.3,green
2022-12,E-way bill generation,17.5,green
2022-12,ATF consumption,19.4,green
2022-12,Diesel consumption,6.6,green
2022-12,Rail Freight Traffic,3.1,green
2022-12,Credit and debit card payments,-6.9,red
2022-12,Air cargo,-1.3,neutral
2022-12,Consumer Durables production,-11.2,red
2022-12,IIP,5.1,green
2022-12,Consumer Non-durables production,7.9,green
2023-01,MCEP,57.9,green
2023-01,Core sector output,9.7,green
2023-01,Retail inflation,6.5,green
2023-01,Major Port Cargo Traffic,12.2,green
2023-01,MGNREGA work demanded by persons,-13.2,red
2023-01,UPI volume,74.1,green
2023-01,PMI Manufacturing,55.4,green
2023-01,Air passengers,95.8,green
2023-01,Exports,1.6,neutral
2023-01,Unemployment in urban areas,0,neutral
2023-01,Youth unemployment in urban areas,0,neutral
2023-01,Female labour force participation in urban areas,0,neutral
2023-01,Wholesale inflation,4.8,green
2023-01,Imports,0.5,neutral
2023-01,GST,11.8,green
2023-01,Aggregate deposits,10.5,green
2023-01,Credit card payments,50.9,green
2023-01,Non-food credit,16.7,green
2023-01,Three-wheeler registrations,17,green
2023-01,Tractor sales,9.4,green
2023-01,Four-wheeler sales,21.6,green
2023-01,PMI Services,57.2,green
2023-01,PMI Composite,57.5,green
2023-01,Natural gas consumption,-0.9,red
2023-01,Two-wheeler sales,9.8,green
2023-01,Electricity demand,13.7,green
2023-01,Petrol consumption,14.3,green
2023-01,Naukri Job Speak Index,1.7,neutral
2023-01,E-way bill generation,19.7,green
2023-01,ATF consumption,46.6,green
2023-01,Diesel consumption,12.8,green
2023-01,Rail Freight Traffic,3.9,green
2023-01,Credit and debit card payments,-0.9,red
2023-01,Air cargo,8.2,green
2023-01,Consumer Durables production,-8.2,red
2023-01,IIP,5.8,green
2023-01,Consumer Non-durables production,6.5,green
2023-02,MCEP,55.4,green
2023-02,Core sector output,7.4,green
2023-02,Retail inflation,6.4,green
2023-02,Major Port Cargo Traffic,12.4,green
2023-02,MGNREGA work demanded by persons,-14.6,red
2023-02,UPI volume,66.4,green
2023-02,PMI Manufacturing,55.3,green
2023-02,Air passengers,56.8,green
2023-02,Exports,-0.4,red
2023-02,Unemployment in urban areas,0,neutral
2023-02,Youth unemployment in urban areas,0,neutral
2023-02,Female labour force participation in urban areas,0,neutral
2023-02,Wholesale inflation,3.9,green
2023-02,Imports,-4.1,red
2023-02,GST,12.4,green
2023-02,Aggregate deposits,10.1,green
2023-02,Credit card payments,37.1,green
2023-02,Non-food credit,15.9,green
2023-02,Three-wheeler registrations,20,green
2023-02,Tractor sales,16.3,green
2023-02,Four-wheeler sales,10.8,green
2023-02,PMI Services,59.4,green
2023-02,PMI Composite,59,green
2023-02,Natural gas consumption,-2.5,red
2023-02,Two-wheeler sales,14.9,green
2023-02,Electricity demand,9.9,green
2023-02,Petrol consumption,8.9,green
2023-02,Naukri Job Speak Index,-2.2,red
2023-02,E-way bill generation,18.4,green
2023-02,ATF consumption,44,green
2023-02,Diesel consumption,7.6,green
2023-02,Rail Freight Traffic,3.6,green
2023-02,Credit and debit card payments,-5.2,red
2023-02,Air cargo,12.1,green
2023-02,Consumer Durables production,-4.1,red
2023-02,IIP,6,green
2023-02,Consumer Non-durables production,12.5,green
2023-03,MCEP,49.6,green
2023-03,Core sector output,4.2,green
2023-03,Retail inflation,5.7,green
2023-03,Major Port Cargo Traffic,2.6,green
2023-03,MGNREGA work demanded by persons,-10.3,red
2023-03,UPI volume,60.7,green
2023-03,PMI Manufacturing,56.4,green
2023-03,Air passengers,21.4,green
2023-03,Exports,-5.9,red
2023-03,Unemployment in urban areas,0,neutral
2023-03,Youth unemployment in urban areas,0,neutral
2023-03,Female labour force participation in urban areas,0,neutral
2023-03,Wholesale inflation,1.4,neutral
2023-03,Imports,-3.4,red
2023-03,GST,12.7,green
2023-03,Aggregate deposits,9.6,green
2023-03,Credit card payments,29.5,green
2023-03,Non-food credit,15.4,green
2023-03,Three-wheeler registrations,28.7,green
2023-03,Tractor sales,6.9,green
2023-03,Four-wheeler sales,13.1,green
2023-03,PMI Services,57.8,green
2023-03,PMI Composite,58.4,green
2023-03,Natural gas consumption,-0.2,red
2023-03,Two-wheeler sales,12.9,green
2023-03,Electricity demand,-1.7,neutral
2023-03,Petrol consumption,6.9,green
2023-03,Naukri Job Speak Index,5.2,green
2023-03,E-way bill generation,16.3,green
2023-03,ATF consumption,26.9,green
2023-03,Diesel consumption,1.2,neutral
2023-03,Rail Freight Traffic,3.8,green
2023-03,Credit and debit card payments,-9,red
2023-03,Air cargo,7,green
2023-03,Consumer Durables production,-8,red
2023-03,IIP,1.9,neutral
2023-03,Consumer Non-durables production,-1.9,neutral
2023-04,MCEP,47.4,green
2023-04,Core sector output,4.6,green
2023-04,Retail inflation,4.7,green
2023-04,Major Port Cargo Traffic,1.4,neutral
2023-04,MGNREGA work demanded by persons,-3.4,red
2023-04,UPI volume,58.8,green
2023-04,PMI Manufacturing,57.2,green
2023-04,Air passengers,22.2,green
2023-04,Exports,-12.8,red
2023-04,Unemployment in urban areas,0,neutral
2023-04,Youth unemployment in urban areas,0,neutral
2023-04,Female labour force participation in urban areas,0,neutral
2023-04,Wholesale inflation,-0.8,red
2023-04,Imports,-15.5,red
2023-04,GST,11.6,green
2023-04,Aggregate deposits,10.1,green
2023-04,Credit card payments,26.8,green
2023-04,Non-food credit,16.2,green
2023-04,Three-wheeler registrations,7.2,green
2023-04,Tractor sales,1.7,neutral
2023-04,Four-wheeler sales,-2.2,red
2023-04,PMI Services,62,green
2023-04,PMI Composite,61.6,green
2023-04,Natural gas consumption,7.4,green
2023-04,Two-wheeler sales,-7.3,red
2023-04,Electricity demand,-3.2,red
2023-04,Petrol consumption,2.9,green
2023-04,Naukri Job Speak Index,-5.2,red
2023-04,E-way bill generation,12.2,green
2023-04,ATF consumption,18.7,green
2023-04,Diesel consumption,8.6,green
2023-04,Rail Freight Traffic,3.5,green
2023-04,Credit and debit card payments,-11.8,red
2023-04,Air cargo,6,green
2023-04,Consumer Durables production,-2.3,red
2023-04,IIP,4.6,green
2023-04,Consumer Non-durables production,11.4,green
2023-05,MCEP,49.5,green
2023-05,Core sector output,5.2,green
2023-05,Retail inflation,4.3,green
2023-05,Major Port Cargo Traffic,3.3,green
2023-05,MGNREGA work demanded by persons,-2.1,red
2023-05,UPI volume,58.1,green
2023-05,PMI Manufacturing,58.7,green
2023-05,Air passengers,15.2,green
2023-05,Exports,-10.4,red
2023-05,Unemployment in urban areas,0,neutral
2023-05,Youth unemployment in urban areas,0,neutral
2023-05,Female labour force participation in urban areas,0,neutral
2023-05,Wholesale inflation,-3.6,red
2023-05,Imports,-6,red
2023-05,GST,11.5,green
2023-05,Aggregate deposits,11.4,green
2023-05,Credit card payments,24.2,green
2023-05,Non-food credit,15.5,green
2023-05,Three-wheeler registrations,26.5,green
2023-05,Tractor sales,10.2,green
2023-05,Four-wheeler sales,3.3,green
2023-05,PMI Services,61.2,green
2023-05,PMI Composite,61.6,green
2023-05,Natural gas consumption,-1.6,neutral
2023-05,Two-wheeler sales,9.7,green
2023-05,Electricity demand,0.8,neutral
2023-05,Petrol consumption,11,green
2023-05,Naukri Job Speak Index,-0.5,red
2023-05,E-way bill generation,19.7,green
2023-05,ATF consumption,12.6,green
2023-05,Diesel consumption,12.8,green
2023-05,Rail Freight Traffic,1.9,neutral
2023-05,Credit and debit card payments,-12.6,red
2023-05,Air cargo,3.6,green
2023-05,Consumer Durables production,1.5,neutral
2023-05,IIP,5.7,green
2023-05,Consumer Non-durables production,8.9,green
2023-06,MCEP,47.8,green
2023-06,Core sector output,8.4,green
2023-06,Retail inflation,4.9,green
2023-06,Major Port Cargo Traffic,0.5,neutral
2023-06,MGNREGA work demanded by persons,2.2,green
2023-06,UPI volume,59.2,green
2023-06,PMI Manufacturing,57.8,green
2023-06,Air passengers,18.8,green
2023-06,Exports,-18.8,red
2023-06,Unemployment in urban areas,0,neutral
2023-06,Youth unemployment in urban areas,0,neutral
2023-06,Female labour force participation in urban areas,0,neutral
2023-06,Wholesale inflation,-4.2,red
2023-06,Imports,-16.8,red
2023-06,GST,11.7,green
2023-06,Aggregate deposits,15.5,green
2023-06,Credit card payments,22,green
2023-06,Non-food credit,16.3,green
2023-06,Three-wheeler registrations,26.6,green
2023-06,Tractor sales,43,green
2023-06,Four-wheeler sales,3,green
2023-06,PMI Services,58.5,green
2023-06,PMI Composite,59.4,green
2023-06,Natural gas consumption,4.4,green
2023-06,Two-wheeler sales,7.6,green
2023-06,Electricity demand,4.8,green
2023-06,Petrol consumption,6.2,green
2023-06,Naukri Job Speak Index,-2.9,red
2023-06,E-way bill generation,15.5,green
2023-06,ATF consumption,9.2,green
2023-06,Diesel consumption,3,green
2023-06,Rail Freight Traffic,-1.9,neutral
2023-06,Credit and debit card payments,-11.9,red
2023-06,Air cargo,1.9,neutral
2023-06,Consumer Durables production,-6.8,red
2023-06,IIP,4,green
2023-06,Consumer Non-durables production,0.5,neutral
2023-07,MCEP,50.5,green
2023-07,Core sector output,8.5,green
2023-07,Retail inflation,7.4,green
2023-07,Major Port Cargo Traffic,4.5,green
2023-07,MGNREGA work demanded by persons,15.3,green
2023-07,UPI volume,58.5,green
2023-07,PMI Manufacturing,57.7,green
2023-07,Air passengers,24.7,green
2023-07,Exports,-10,red
2023-07,Unemployment in urban areas,0,neutral
2023-07,Youth unemployment in urban areas,0,neutral
2023-07,Female labour force participation in urban areas,0,neutral
2023-07,Wholesale inflation,-1.2,neutral
2023-07,Imports,-16.1,red
2023-07,GST,10.8,green
2023-07,Aggregate deposits,12.9,green
2023-07,Credit card payments,24.2,green
2023-07,Non-food credit,19.7,green
2023-07,Three-wheeler registrations,51.6,green
2023-07,Tractor sales,25,green
2023-07,Four-wheeler sales,2.1,green
2023-07,PMI Services,62.3,green
2023-07,PMI Composite,61.9,green
2023-07,Natural gas consumption,2,green
2023-07,Two-wheeler sales,9.2,green
2023-07,Electricity demand,9.3,green
2023-07,Petrol consumption,6.2,green
2023-07,Naukri Job Speak Index,-18.8,red
2023-07,E-way bill generation,16.4,green
2023-07,ATF consumption,14.6,green
2023-07,Diesel consumption,3.8,green
2023-07,Rail Freight Traffic,1.5,neutral
2023-07,Credit and debit card payments,-10.9,red
2023-07,Air cargo,5,green
2023-07,Consumer Durables production,-3.6,red
2023-07,IIP,6.2,green
2023-07,Consumer Non-durables production,8.3,green
2023-08,MCEP,53.8,green
2023-08,Core sector output,13.4,green
2023-08,Retail inflation,6.8,green
2023-08,Major Port Cargo Traffic,4.4,green
2023-08,MGNREGA work demanded by persons,19.4,green
2023-08,UPI volume,60.9,green
2023-08,PMI Manufacturing,58.6,green
2023-08,Air passengers,22.8,green
2023-08,Exports,3.4,green
2023-08,Unemployment in urban areas,0,neutral
2023-08,Youth unemployment in urban areas,0,neutral
2023-08,Female labour force participation in urban areas,0,neutral
2023-08,Wholesale inflation,-0.5,red
2023-08,Imports,0.7,neutral
2023-08,GST,10.8,green
2023-08,Aggregate deposits,13.2,green
2023-08,Credit card payments,19.4,green
2023-08,Non-food credit,19.8,green
2023-08,Three-wheeler registrations,46.5,green
2023-08,Tractor sales,16.4,green
2023-08,Four-wheeler sales,4.3,green
2023-08,PMI Services,60.1,green
2023-08,PMI Composite,60.9,green
2023-08,Natural gas consumption,20.2,green
2023-08,Two-wheeler sales,7.5,green
2023-08,Electricity demand,16.3,green
2023-08,Petrol consumption,2.9,green
2023-08,Naukri Job Speak Index,-5.7,red
2023-08,E-way bill generation,19.5,green
2023-08,ATF consumption,13.6,green
2023-08,Diesel consumption,5.2,green
2023-08,Rail Freight Traffic,6.4,green
2023-08,Credit and debit card payments,-9.1,red
2023-08,Air cargo,15.3,green
2023-08,Consumer Durables production,6,green
2023-08,IIP,10.9,green
2023-08,Consumer Non-durables production,9.9,green
2023-09,MCEP,51,green
2023-09,Core sector output,9.5,green
2023-09,Retail inflation,5,green
2023-09,Major Port Cargo Traffic,0.4,neutral
2023-09,MGNREGA work demanded by persons,9.5,green
2023-09,UPI volume,55.7,green
2023-09,PMI Manufacturing,57.5,green
2023-09,Air passengers,18.4,green
2023-09,Exports,-2.8,red
2023-09,Unemployment in urban areas,0,neutral
2023-09,Youth unemployment in urban areas,0,neutral
2023-09,Female labour force participation in urban areas,0,neutral
2023-09,Wholesale inflation,-0.1,red
2023-09,Imports,-14,red
2023-09,GST,10.2,green
2023-09,Aggregate deposits,12.3,green
2023-09,Credit card payments,4.2,green
2023-09,Non-food credit,20,green
2023-09,Three-wheeler registrations,44.5,green
2023-09,Tractor sales,-7.5,red
2023-09,Four-wheeler sales,17.8,green
2023-09,PMI Services,61,green
2023-09,PMI Composite,61,green
2023-09,Natural gas consumption,19.1,green
2023-09,Two-wheeler sales,23.1,green
2023-09,Electricity demand,11.5,green
2023-09,Petrol consumption,8.2,green
2023-09,Naukri Job Speak Index,-8.6,red
2023-09,E-way bill generation,9.5,green
2023-09,ATF consumption,11,green
2023-09,Diesel consumption,3.8,green
2023-09,Rail Freight Traffic,6.8,green
2023-09,Credit and debit card payments,-14.5,red
2023-09,Air cargo,4.8,green
2023-09,Consumer Durables production,1,neutral
2023-09,IIP,6.4,green
2023-09,Consumer Non-durables production,2.7,green
2023-10,MCEP,55.5,green
2023-10,Core sector output,12.7,green
2023-10,Retail inflation,4.9,green
2023-10,Major Port Cargo Traffic,13.9,green
2023-10,MGNREGA work demanded by persons,17.5,green
2023-10,UPI volume,56.2,green
2023-10,PMI Manufacturing,55.5,green
2023-10,Air passengers,10.8,green
2023-10,Exports,5.8,green
2023-10,Unemployment in urban areas,0,neutral
2023-10,Youth unemployment in urban areas,0,neutral
2023-10,Female labour force participation in urban areas,0,neutral
2023-10,Wholesale inflation,-0.3,red
2023-10,Imports,10.3,green
2023-10,GST,13.4,green
2023-10,Aggregate deposits,13.2,green
2023-10,Credit card payments,15.8,green
2023-10,Non-food credit,21,green
2023-10,Three-wheeler registrations,45.2,green
2023-10,Tractor sales,3.5,green
2023-10,Four-wheeler sales,-2.2,red
2023-10,PMI Services,58.4,green
2023-10,PMI Composite,58.4,green
2023-10,Natural gas consumption,19.9,green
2023-10,Two-wheeler sales,-11.6,red
2023-10,Electricity demand,22.6,green
2023-10,Petrol consumption,4.8,green
2023-10,Naukri Job Speak Index,1.2,neutral
2023-10,E-way bill generation,30.5,green
2023-10,ATF consumption,12.4,green
2023-10,Diesel consumption,9.3,green
2023-10,Rail Freight Traffic,8.5,green
2023-10,Credit and debit card payments,-7.5,red
2023-10,Air cargo,11.5,green
2023-10,Consumer Durables production,15.9,green
2023-10,IIP,11.9,green
2023-10,Consumer Non-durables production,9.3,green
2023-11,MCEP,51.1,green
2023-11,Core sector output,7.9,green
2023-11,Retail inflation,5.6,green
2023-11,Major Port Cargo Traffic,17.1,green
2023-11,MGNREGA work demanded by persons,-6.9,red
2023-11,UPI volume,53.7,green
2023-11,PMI Manufacturing,56,green
2023-11,Air passengers,9,green
2023-11,Exports,-3.3,red
2023-11,Unemployment in urban areas,0,neutral
2023-11,Youth unemployment in urban areas,0,neutral
2023-11,Female labour force participation in urban areas,0,neutral
2023-11,Wholesale inflation,0.4,neutral
2023-11,Imports,-3.3,red
2023-11,GST,15.1,green
2023-11,Aggregate deposits,14.2,green
2023-11,Credit card payments,11.3,green
2023-11,Non-food credit,22.4,green
2023-11,Three-wheeler registrations,17.8,green
2023-11,Tractor sales,-22.3,red
2023-11,Four-wheeler sales,19.6,green
2023-11,PMI Services,56.9,green
2023-11,PMI Composite,57.4,green
2023-11,Natural gas consumption,8.2,green
2023-11,Two-wheeler sales,22.6,green
2023-11,Electricity demand,8.1,green
2023-11,Petrol consumption,9.4,green
2023-11,Naukri Job Speak Index,-23.3,red
2023-11,E-way bill generation,8.5,green
2023-11,ATF consumption,11.6,green
2023-11,Diesel consumption,-3.1,red
2023-11,Rail Freight Traffic,4.3,green
2023-11,Credit and debit card payments,-4.3,red
2023-11,Air cargo,14,green
2023-11,Consumer Durables production,-4.8,red
2023-11,IIP,2.5,green
2023-11,Consumer Non-durables production,-3.4,red
2023-12,MCEP,47.5,green
2023-12,Core sector output,5.1,green
2023-12,Retail inflation,5.7,green
2023-12,Major Port Cargo Traffic,0.7,neutral
2023-12,MGNREGA work demanded by persons,-7.3,red
2023-12,UPI volume,53.5,green
2023-12,PMI Manufacturing,54.9,green
2023-12,Air passengers,8.3,green
2023-12,Exports,0.8,neutral
2023-12,Unemployment in urban areas,0,neutral
2023-12,Youth unemployment in urban areas,0,neutral
2023-12,Female labour force participation in urban areas,0,neutral
2023-12,Wholesale inflation,0.9,neutral
2023-12,Imports,-6.6,red
2023-12,GST,10.3,green
2023-12,Aggregate deposits,13.3,green
2023-12,Credit card payments,8.2,green
2023-12,Non-food credit,20.1,green
2023-12,Three-wheeler registrations,21.5,green
2023-12,Tractor sales,1.5,neutral
2023-12,Four-wheeler sales,2.4,green
2023-12,PMI Services,59,green
2023-12,PMI Composite,58.5,green
2023-12,Natural gas consumption,12.2,green
2023-12,Two-wheeler sales,29.3,green
2023-12,Electricity demand,0.8,neutral
2023-12,Petrol consumption,0.2,neutral
2023-12,Naukri Job Speak Index,-15.6,red
2023-12,E-way bill generation,13.2,green
2023-12,ATF consumption,9.2,green
2023-12,Diesel consumption,-2.4,red
2023-12,Rail Freight Traffic,6.4,green
2023-12,Credit and debit card payments,-4.6,red
2023-12,Air cargo,11.5,green
2023-12,Consumer Durables production,5.2,green
2023-12,IIP,4.4,green
2023-12,Consumer Non-durables production,3,green
2024-01,MCEP,50.9,green
2024-01,Core sector output,4.1,green
2024-01,Retail inflation,5.1,green
2024-01,Major Port Cargo Traffic,3.3,green
2024-01,MGNREGA work demanded by persons,-7.7,red
2024-01,UPI volume,51.8,green
2024-01,PMI Manufacturing,56.5,green
2024-01,Air passengers,4.6,green
2024-01,Exports,4.3,green
2024-01,Unemployment in urban areas,0,neutral
2024-01,Youth unemployment in urban areas,0,neutral
2024-01,Female labour force participation in urban areas,0,neutral
2024-01,Wholesale inflation,0.3,neutral
2024-01,Imports,2,green
2024-01,GST,10.5,green
2024-01,Aggregate deposits,13.2,green
2024-01,Credit card payments,4.6,green
2024-01,Non-food credit,20.4,green
2024-01,Three-wheeler registrations,35.8,green
2024-01,Tractor sales,23.9,green
2024-01,Four-wheeler sales,12.5,green
2024-01,PMI Services,61.8,green
2024-01,PMI Composite,61.2,green
2024-01,Natural gas consumption,22.4,green
2024-01,Two-wheeler sales,16,green
2024-01,Electricity demand,5.9,green
2024-01,Petrol consumption,9.6,green
2024-01,Naukri Job Speak Index,-11.1,red
2024-01,E-way bill generation,16.4,green
2024-01,ATF consumption,7.3,green
2024-01,Diesel consumption,3.4,green
2024-01,Rail Freight Traffic,6.4,green
2024-01,Credit and debit card payments,-3.3,red
2024-01,Air cargo,10.3,green
2024-01,Consumer Durables production,11.6,green
2024-01,IIP,4.2,green
2024-01,Consumer Non-durables production,0.3,neutral
2024-02,MCEP,52.6,green
2024-02,Core sector output,7.1,green
2024-02,Retail inflation,5.1,green
2024-02,Major Port Cargo Traffic,2.1,green
2024-02,MGNREGA work demanded by persons,-0.2,red
2024-02,UPI volume,60.6,green
2024-02,PMI Manufacturing,56.9,green
2024-02,Air passengers,4.8,green
2024-02,Exports,11.9,green
2024-02,Unemployment in urban areas,0,neutral
2024-02,Youth unemployment in urban areas,0,neutral
2024-02,Female labour force participation in urban areas,0,neutral
2024-02,Wholesale inflation,0.2,neutral
2024-02,Imports,13.7,green
2024-02,GST,12.5,green
2024-02,Aggregate deposits,13.1,green
2024-02,Credit card payments,9.4,green
2024-02,Non-food credit,20.6,green
2024-02,Three-wheeler registrations,32.6,green
2024-02,Tractor sales,12.7,green
2024-02,Four-wheeler sales,10.7,green
2024-02,PMI Services,60.6,green
2024-02,PMI Composite,60.6,green
2024-02,Natural gas consumption,29.9,green
2024-02,Two-wheeler sales,14.1,green
2024-02,Electricity demand,7.5,green
2024-02,Petrol consumption,8.9,green
2024-02,Naukri Job Speak Index,-7.5,red
2024-02,E-way bill generation,18.9,green
2024-02,ATF consumption,12.6,green
2024-02,Diesel consumption,6.3,green
2024-02,Rail Freight Traffic,10.1,green
2024-02,Credit and debit card payments,1,neutral
2024-02,Air cargo,13.9,green
2024-02,Consumer Durables production,12.4,green
2024-02,IIP,5.6,green
2024-02,Consumer Non-durables production,-3.5,red
2024-03,MCEP,50.5,green
2024-03,Core sector output,6.3,green
2024-03,Retail inflation,4.9,green
